game_id,patch,league,team1,team2,winner,team1_picks,team2_picks,team1_bans,team2_bans
LOLTMNT03_179647,15.01,LFL2,Blue,Red,Red,"['Maokai', 'Jinx', 'Leona', 'Hwei', 'Gnar']","['Varus', 'Ivern', 'Braum', 'Renekton', 'Orianna']","['Vi', 'Skarner', 'Corki', ""K'Sante"", 'Sylas']","['Yone', 'Viktor', 'Aurora', 'Nocturne', 'Jarvan IV']"
LOLTMNT06_96134,15.01,LFL2,Blue,Red,Blue,"['Varus', ""K'Sante"", 'Ivern', 'Azir', 'Rell']","['Corki', 'Sejuani', 'Renekton', 'Orianna', 'Nautilus']","['Kalista', 'Aurora', 'Skarner', 'Akali', 'Ziggs']","['Fiora', 'Nocturne', 'Ashe', 'Leona', 'Yone']"
LOLTMNT06_95160,15.01,LFL2,Blue,Red,Red,"['Corki', 'Skarner', 'Alistar', 'Aurora', 'Aatrox']","['Varus', 'Rell', 'Kayn', 'Taliyah', 'Gwen']","['Irelia', 'Leona', 'Ivern', 'Sylas', 'Olaf']","['Viktor', 'Caitlyn', ""K'Sante"", 'Zed', 'Hwei']"
LOLTMNT03_178705,15.01,LFL2,Blue,Red,Red,"['Viktor', 'Skarner', 'Ezreal', 'Nautilus', 'Jayce']","['Wukong', 'Varus', 'Ahri', 'Rakan', ""K'Sante""]","['Kalista', 'Sejuani', 'Vi', 'Fiora', 'Ambessa']","['Akali', 'Aurora', 'Maokai', 'Olaf', 'Renekton']"
11715-11715_game_1,15.01,LPL,Blue,Red,Blue,"['Ashe', 'Aurora', 'Braum', ""K'Sante"", 'Viego']","['Varus', 'Nocturne', 'Orianna', 'Neeko', 'Gnar']","['Jayce', 'Poppy', 'Rumble', 'Rakan', 'Rell']","['Skarner', 'Vi', 'Kalista', 'Xin Zhao', 'Wukong']"
11715-11715_game_2,15.01,LPL,Blue,Red,Red,"['Rumble', 'Rell', 'Jhin', 'Maokai', 'Ambessa']","['Jayce', 'Miss Fortune', 'Wukong', 'Rakan', 'Viktor']","['Caitlyn', 'Vi', 'Xin Zhao', 'Poppy', 'Alistar']","['Kalista', 'Skarner', 'Corki', 'Sejuani', 'Yone']"
LOLTMNT06_96169,15.01,LFL2,Blue,Red,Blue,"['Skarner', 'Ashe', 'Orianna', 'Ornn', 'Rakan']","['Wukong', 'Varus', 'LeBlanc', 'Renekton', 'Rell']","['Zed', 'Aphelios', 'Maokai', 'Aatrox', ""K'Sante""]","['Viktor', 'Corki', 'Aurora', 'Rumble', 'Gnar']"
11715-11715_game_3,15.01,LPL,Blue,Red,Red,"['Leona', 'Zyra', 'Yone', 'Ziggs', 'Aatrox']","['Jax', 'Sejuani', 'Jinx', 'Poppy', 'Sylas']","['Vi', 'Caitlyn', 'Xin Zhao', 'Akali', 'Alistar']","['Skarner', 'Kalista', 'Corki', ""Kai'Sa"", 'Renekton']"
LOLTMNT06_95187,15.01,LFL2,Blue,Red,Blue,"['Varus', 'Maokai', 'Orianna', 'Rell', 'Xin Zhao']","['Ashe', 'Sejuani', 'Hwei', ""K'Sante"", 'Milio']","['Kalista', 'Skarner', 'Vi', 'Renekton', 'Braum']","['Yone', 'Aurora', 'Viktor', 'Nocturne', 'Poppy']"
LOLTMNT06_96178,15.01,LFL2,Blue,Red,Blue,"['Aurora', 'Corki', 'Garen', 'Vi', 'Rell']","['Wukong', ""K'Sante"", 'Orianna', 'Zeri', 'Alistar']","['Kalista', 'Skarner', 'Varus', 'Ezreal', 'Rakan']","['Fiora', 'Ivern', 'Viktor', 'Maokai', 'Nocturne']"
